Output Voltage vs Output Current, Run #1
Output Current ( A )	Output Voltage ( V )
-0.005	-0.454
-0.005	-0.493
-0.005	-0.533
-0.006	-0.574
-0.006	-0.613
-0.007	-0.654
-0.007	-0.693
-0.008	-0.733
-0.008	-0.772
-0.008	-0.813
-0.009	-0.855
-0.009	-0.893
-0.010	-0.933
-0.010	-0.974
-0.010	-1.012
-0.011	-1.055
-0.011	-1.094
-0.011	-1.133
-0.012	-1.174
-0.012	-1.212
-0.013	-1.255
-0.013	-1.294
-0.014	-1.333
-0.014	-1.376
-0.014	-1.415
-0.015	-1.455
-0.015	-1.495
-0.016	-1.533
-0.016	-1.576
-0.016	-1.615
-0.017	-1.654
-0.017	-1.694
-0.018	-1.733
-0.018	-1.776
-0.018	-1.815
-0.019	-1.853
-0.019	-1.895
-0.020	-1.934
-0.020	-1.975
-0.020	-2.015
-0.021	-2.055
-0.021	-2.095
-0.022	-2.134
-0.022	-2.173
-0.022	-2.216
-0.023	-2.254
-0.023	-2.295
-0.024	-2.334
-0.024	-2.373
-0.024	-2.415
-0.025	-2.455
-0.025	-2.495
-0.026	-2.535
-0.026	-2.573
-0.026	-2.615
-0.027	-2.654
-0.027	-2.694
-0.028	-2.734
-0.028	-2.774
-0.029	-2.817
-0.029	-2.857
-0.029	-2.895
-0.030	-2.936
-0.030	-2.976
-0.030	-3.015
-0.031	-3.056
-0.031	-3.095
-0.032	-3.137
-0.032	-3.175
-0.032	-3.215
-0.033	-3.256
-0.033	-3.296
-0.034	-3.336
-0.034	-3.375
-0.035	-3.414
-0.035	-3.457
-0.035	-3.496
-0.036	-3.535
-0.036	-3.574
-0.037	-3.614
-0.037	-3.657
-0.037	-3.696
-0.038	-3.735
-0.038	-3.777
-0.039	-3.815
-0.039	-3.858
-0.039	-3.897
-0.040	-3.935
-0.040	-3.976
-0.041	-4.014
-0.041	-4.053
-0.041	-4.097
-0.042	-4.136
-0.042	-4.177
-0.042	-4.215
-0.043	-4.254
-0.043	-4.296
-0.044	-4.335
-0.044	-4.377
-0.045	-4.416
-0.045	-4.456
-0.045	-4.497
-0.046	-4.536
-0.046	-4.575
-0.047	-4.617
-0.047	-4.657
-0.047	-4.697
-0.048	-4.736
-0.048	-4.776
-0.049	-4.816
-0.049	-4.857
-0.050	-4.897
-0.050	-4.937
-0.050	-4.976
-0.050	-4.986
-0.050	-4.946
-0.050	-4.907
-0.049	-4.866
-0.049	-4.826
-0.048	-4.785
-0.048	-4.746
-0.048	-4.707
-0.047	-4.665
-0.047	-4.627
-0.046	-4.588
-0.046	-4.546
-0.045	-4.507
-0.045	-4.466
-0.045	-4.427
-0.044	-4.389
-0.044	-4.346
-0.043	-4.307
-0.043	-4.266
-0.043	-4.227
-0.042	-4.188
-0.042	-4.146
-0.042	-4.107
-0.041	-4.068
-0.041	-4.025
-0.040	-3.986
-0.040	-3.945
-0.039	-3.906
-0.039	-3.867
-0.039	-3.825
-0.038	-3.786
-0.038	-3.745
-0.037	-3.706
-0.037	-3.666
-0.037	-3.624
-0.036	-3.585
-0.036	-3.546
-0.035	-3.505
-0.035	-3.466
-0.035	-3.424
-0.034	-3.385
-0.034	-3.345
-0.033	-3.306
-0.033	-3.267
-0.033	-3.227
-0.032	-3.184
-0.032	-3.147
-0.031	-3.104
-0.031	-3.065
-0.031	-3.026
-0.030	-2.984
-0.030	-2.945
-0.029	-2.905
-0.029	-2.865
-0.029	-2.827
-0.028	-2.784
-0.028	-2.745
-0.027	-2.706
-0.027	-2.666
-0.027	-2.627
-0.026	-2.584
-0.026	-2.545
-0.025	-2.507
-0.025	-2.465
-0.025	-2.426
-0.024	-2.385
-0.024	-2.344
-0.023	-2.305
-0.023	-2.264
-0.023	-2.225
-0.022	-2.185
-0.022	-2.144
-0.021	-2.105
-0.021	-2.064
-0.021	-2.025
-0.020	-1.986
-0.020	-1.943
-0.019	-1.904
-0.019	-1.863
-0.019	-1.824
-0.018	-1.785
-0.018	-1.743
-0.017	-1.704
-0.017	-1.665
-0.016	-1.624
-0.016	-1.585
-0.016	-1.543
-0.015	-1.504
-0.015	-1.465
-0.014	-1.423
-0.014	-1.384
-0.014	-1.346
-0.013	-1.304
-0.013	-1.265
-0.012	-1.223
-0.012	-1.185
-0.012	-1.144
-0.011	-1.104
-0.011	-1.064
-0.010	-1.024
-0.010	-0.985
-0.010	-0.945
-0.009	-0.903
-0.009	-0.864
-0.008	-0.825
-0.008	-0.782
-0.008	-0.743
-0.007	-0.703
